SYNOPCode,Removed_Feature,RMSE,R2
0,SYNOPCode,0.796567394543211,0.9488223451458708
0,RainIntensityMin,0.7963818974831788,0.9488461779043403
0,RainIntensityMax,0.7939644241518926,0.949156268596322
0,RainIntensity,0.7954849662864254,0.9489613377839003
0,Frequency,0.7957166961723483,0.9489315976717886
0,WindDirection,0.7954386704061003,0.9489672783387575
0,Particulate,0.7833441330044851,0.9505073714519047
0,ParticulateMax,0.7833229785983284,0.9505100445376785
0,WindSpeedMin,0.7839761604722362,0.9504274747155474
0,AbsoluteHumidityMin,0.7841830260261584,0.9504013101422398
0,WindSpeed,0.775806241913223,0.9514552947369778
0,ParticulateMin,0.7865438669870686,0.9501022195581958
0,AbsoluteHumidityMax,0.8345567238929233,0.9438244865347997
0,WindSpeedMax,0.8272348556509901,0.944805858829364
0,RelativeHumidity,0.8407399953007444,0.9429889886063203
0,TemperatureDifference,0.8521102667661079,0.9414365132737692
0,RFL_Att,0.9105188963555664,0.933132781776235
0,Time,0.8984980150846742,0.9348867198843771
0,Visibility,1.1437609038837449,0.8944870356842987
0,TemperatureMax,1.1567819731784978,0.8920709501131704
0,AbsoluteHumidity,1.1533800555508618,0.8927048221078963
0,VisibilityMin,1.4138961740809806,0.8387608989170812
0,TemperatureMin,1.4227928516008186,0.8367253811051577
0,VisibilityMax,1.4268740858892102,0.8357873419648021
0,Temperature,1.7022817042658491,0.7662787541722225
0,Distance,2.9516939873681225,0.2972869951858461
3,RainIntensityMax,1.770641050053349,0.953009133648653
3,SYNOPCode,1.7580450834901207,0.9536753218316709
3,RainIntensity,1.827273154911094,0.9499551556685325
3,RainIntensityMin,1.8133107697208626,0.9507170295002292
3,ParticulateMin,1.8217623382946084,0.9502565578850325
3,Particulate,1.8093096607022752,0.9509342774125681
3,ParticulateMax,1.8080297525269997,0.9510036711803236
3,Frequency,1.7679052711856977,0.9531542305943254
3,WindDirection,1.7962431483001788,0.9516404062383699
3,WindSpeedMin,1.747510003944753,0.9542288592834529
3,WindSpeed,1.8128651798445552,0.9507412474058974
3,TemperatureMin,1.7171715513954597,0.9558043256791384
3,AbsoluteHumidity,1.7325184288557867,0.9550108155267948
3,AbsoluteHumidityMax,1.720844642391918,0.9556150512258302
3,WindSpeedMax,1.759873860651353,0.9535788947522701
3,TemperatureMax,1.7398481393373002,0.9546293416686563
3,AbsoluteHumidityMin,1.6471413833956523,0.9593356202636895
3,Time,1.676600954232202,0.9578680254787767
3,TemperatureDifference,1.7907909893946519,0.951933533634253
3,Visibility,1.9628136038515238,0.9422555148503501
3,RelativeHumidity,1.935963005310659,0.943824557388814
3,VisibilityMin,1.9423415195383507,0.9434537794973374
3,Distance,1.9550009533591106,0.942714284486856
3,VisibilityMax,1.9002616144700484,0.9458773333749365
3,Temperature,2.1117337908975715,0.9331608784309933
3,RFL_Att,6.3373850977325175,0.39803312797541657
4,SYNOPCode,0.6302121629416024,0.9745013114406804
4,Frequency,0.6159227548324833,0.975644515054319
4,RainIntensityMax,0.6216426090939577,0.9751900532455703
4,RainIntensityMin,0.618459422999341,0.9754434865762662
4,RainIntensity,0.627338499804251,0.974733320867173
4,WindDirection,0.6263566478993956,0.9748123490898906
4,WindSpeedMin,0.6054835725625396,0.9764631135253065
4,AbsoluteHumidityMax,0.6110782000986584,0.9760261455318531
4,AbsoluteHumidityMin,0.6241553428417147,0.974989079943427
4,WindSpeed,0.6121134914599826,0.9759448435006669
4,AbsoluteHumidity,0.616155492674306,0.9756261052328876
4,VisibilityMax,0.6151525902345701,0.9757053863391149
4,TemperatureDifference,0.6150015548375519,0.9757173147491373
4,RFL_Att,0.649275999368442,0.9729353146838793
4,VisibilityMin,0.6347338333986166,0.9741341008692755
4,RelativeHumidity,0.64269935633284,0.9734808247674256
4,TemperatureMax,0.6256018973491781,0.9748730140156149
4,Time,0.6121588217382578,0.9759412805427211
4,WindSpeedMax,0.6790893227495114,0.9703927488693894
4,TemperatureMin,0.7252181453813603,0.9662338452243133
4,Visibility,0.7499853607240632,0.9638881401938025
4,Distance,1.2150915494885823,0.9052100521897972
4,ParticulateMax,1.283057852503866,0.8943093032247468
4,Temperature,1.2692509730178507,0.8965717222250211
4,ParticulateMin,2.2206484033730582,0.6834051201907637
4,Particulate,2.300542921793033,0.6602144044778817
5,SYNOPCode,0.8454523204954878,0.9441734449673442
5,Frequency,0.8430272718092371,0.9444932452668474
5,RainIntensityMax,0.8407408600118893,0.9447939216558576
5,WindDirection,0.8421076590085046,0.944614277842955
5,AbsoluteHumidityMin,0.8340295159793725,0.9456717858999623
5,RainIntensityMin,0.829648757003661,0.9462410073961409
5,AbsoluteHumidityMax,0.8240761005829261,0.9469607680636523
5,WindSpeedMin,0.8201097590807507,0.947470103158168
5,RainIntensity,0.8138065463247216,0.948274470373654
5,WindSpeedMax,0.8083988563496025,0.948959611783424
5,TemperatureDifference,0.8105268309577925,0.9486905475669944
5,AbsoluteHumidity,0.8487367405134011,0.9437388515421062
5,WindSpeed,0.8530624347278628,0.9431639059977944
5,RelativeHumidity,0.875461900689779,0.9401399480282274
5,TemperatureMin,0.8767961869886925,0.9399573442800278
5,Time,0.8681926778290707,0.9411298929367693
5,VisibilityMin,0.9686121994616206,0.9267238813342586
5,ParticulateMin,0.9600043412555251,0.9280204740567969
5,TemperatureMax,0.9562999250801314,0.9285749041905034
5,RFL_Att,0.9430296127558454,0.9305434433331998
5,Particulate,0.98332023897136,0.9244816410160438
5,VisibilityMax,0.9758106096906762,0.9256307058387905
5,Temperature,0.9556818572113901,0.928667200110828
