SYNOPCode,Removed_Feature,RMSE,R2
6,SYNOPCode,0.6821313479370212,0.9715171459483798
6,WindDirection,0.6852368687719992,0.9712572093592018
6,WindSpeedMin,0.6767268760628371,0.9719666927332319
6,WindSpeedMax,0.6774070626433373,0.9719103111625693
6,TemperatureMin,0.6731465734799527,0.9722625350364574
6,WindSpeed,0.6694135016899463,0.972569329528028
6,TemperatureMax,0.6649691103784044,0.972932357552114
6,AbsoluteHumidityMin,0.6579586765721518,0.9735000701339152
6,Particulate,0.6516340798491624,0.9740070802103907
6,Frequency,0.6485463900172067,0.9742528252688221
6,Time,0.819376745972165,0.9589025612685028
6,VisibilityMin,0.8454775271379241,0.9562425883296629
6,ParticulateMax,0.8438399794125766,0.9564119256708827
6,TemperatureDifference,0.8431020779211992,0.9564881241041284
6,VisibilityMax,0.9145537328642744,0.9488004738995688
