SYNOPCode,Removed_Feature,RMSE,R2
5,AbsoluteHumidity,0.8185802385097806,0.9476658589918516
5,RainIntensity,0.8237095791821987,0.947007937713242
5,TemperatureDifference,0.8051854787324778,0.9493645754140433
5,WindSpeed,0.8488677028828218,0.9437214877085051
5,RelativeHumidity,0.8677393009247327,0.9411913617296477
5,TemperatureMin,0.8997691848789556,0.9367697616354002
5,Time,0.8811684605948614,0.9393570280893406
5,VisibilityMin,1.0180077379650916,0.9190597118129125
5,ParticulateMin,1.006953894521351,0.9208079181750064
5,TemperatureMax,0.9970111024759297,0.9223641026409134
5,Particulate,0.98332023897136,0.9244816410160438
5,VisibilityMax,0.9758106096906762,0.9256307058387905
5,Temperature,0.9556818572113901,0.928667200110828
5,Visibility,1.6406963978441744,0.7897582139544627
5,ParticulateMax,2.300672304240156,0.586598434436674
5,Distance,3.4503278282641503,0.07021334195032558
6,SYNOPCode,0.8053746418146732,0.9650982957564223
6,Frequency,0.804412449665175,0.96518164103093
6,WindDirection,0.8040703967916033,0.9652112457134864
6,AbsoluteHumidityMax,0.7906417438004107,0.9663635455055699
6,RainIntensityMin,0.7858189962472463,0.9667726445080619
6,AbsoluteHumidityMin,0.7870254653640968,0.9666705381659115
6,WindSpeedMin,0.7774086927908765,0.9674800764035425
6,RainIntensityMax,0.7744926052297078,0.9677235856116339
6,TemperatureMin,0.7728393771946235,0.9678612326891993
6,WindSpeed,0.7625786523719862,0.9687089585035724
6,WindSpeedMax,0.7720290752763506,0.967928590676738
6,RainIntensity,0.794528007540884,0.9660320644000675
6,TemperatureMax,0.7825518615037002,0.9670483634108905
6,VisibilityMin,0.7720658581322948,0.9679255345583369
6,Time,0.7653024255226949,0.9684850290509345
6,TemperatureDifference,0.8747796779051451,0.9588236257754574
6,VisibilityMax,1.0551496429635836,0.9400928244664164
6,RelativeHumidity,1.0395459938587241,0.9418515490531228
6,ParticulateMin,1.0469145270969131,0.9410242891970905
6,AbsoluteHumidity,1.0435300610183458,0.9414049862872705
6,Visibility,1.2421268645413186,0.9169800168168827
6,Temperature,1.63814528161072,0.8556038672249544
6,ParticulateMax,2.3643355970708244,0.6992061354522212
6,Distance,2.3957140033970923,0.6911691516651348
6,Particulate,4.229100936908919,0.037619459447857384
7,SYNOPCode,1.1832398208428994,0.949976748053461
7,Frequency,1.171267125859298,0.9509839539552336
7,WindDirection,1.167807956760359,0.951273050114836
7,RainIntensityMin,1.1666090658764001,0.9513730465382033
7,AbsoluteHumidityMax,1.1626594840998292,0.9517017445221871
7,RainIntensityMax,1.1673542407053996,0.9513109054909907
7,Distance,1.1607414481268783,0.9518609680619343
7,AbsoluteHumidity,1.1517560782561187,0.9526033777029193
7,WindSpeed,1.145354131927229,0.9531288141908666
7,RainIntensity,1.1443496434598204,0.9532109912551573
7,AbsoluteHumidityMin,1.1073160742365438,0.9561903709479845
7,VisibilityMin,1.1219408566690634,0.9550255051158131
7,WindSpeedMin,1.1219636875447379,0.9550236746850153
7,VisibilityMax,1.0727718093189653,0.9588811393804454
7,Time,1.0646664536017387,0.9595001413432176
7,TemperatureMin,1.1073305474252013,0.9561892257118865
7,Visibility,1.1061472609617804,0.956282807520799
7,TemperatureMax,1.2390792475121855,0.9451439498012464
7,WindSpeedMax,1.2361986640575797,0.9453987095403467
7,RelativeHumidity,1.3580623889442276,0.9341029746343155
7,Temperature,1.2766020693317714,0.9417712515869137
7,ParticulateMin,1.7673967633560264,0.8883922178834158
7,TemperatureDifference,1.6839194712112735,0.8986861067293509
7,ParticulateMax,2.856019835030965,0.7085602365232598
7,Particulate,3.040591611357385,0.6696741560797415
8,SYNOPCode,0.8704202906578904,0.9520083386223112
8,Frequency,0.8611335072406597,0.9530269513024935
8,RainIntensity,0.8756008359850118,0.9514353674870557
8,WindSpeedMin,0.8623097598072499,0.9528985393801439
8,RainIntensityMin,0.86468356049342,0.9526388568819183
8,WindDirection,0.8590733949233597,0.9532514321825775
8,RainIntensityMax,0.8551076536067208,0.9536820468743396
8,TemperatureMax,0.8553579571379427,0.9536549269111754
8,WindSpeed,0.8372754779352605,0.9555937074931015
8,WindSpeedMax,0.8331552156276469,0.9560296820033097
8,ParticulateMin,0.8742374892015965,0.9515864840383642
8,TemperatureMin,0.8703455560185711,0.9520165794355522
8,TemperatureDifference,0.8570925604387373,0.9534667674887448
8,ParticulateMax,0.8928799535749233,0.9494997047999593
8,AbsoluteHumidityMax,0.9016665435210405,0.9485008948815472
8,Time,0.8860522260702945,0.9502690891409693
8,AbsoluteHumidityMin,0.9457134280750253,0.943346482059342
8,Particulate,0.9286383400330208,0.945373799812895
8,Temperature,0.9758901353066214,0.9396732918626586
8,RelativeHumidity,0.9983222126654154,0.9368680447138736
8,VisibilityMax,1.2097972364000635,0.9072886408487576
8,AbsoluteHumidity,1.1952177078326063,0.9095097455544844
8,VisibilityMin,1.8838950217360169,0.775187130650251
8,Distance,1.8677861329016685,0.7790153717187615
8,Visibility,2.854073421166779,0.48401383870342063
